X,Y,Z,Temp_degC,Well
703928.03,3558492.54,1161.35,87.9,45-7
703928.03,3558492.54,1160.42,88.0,45-7
703928.03,3558492.54,1159.49,88.1,45-7
703928.04,3558492.54,1158.56,88.3,45-7
703928.04,3558492.54,1157.63,88.4,45-7
703928.04,3558492.54,1156.7,88.6,45-7
703928.05,3558492.54,1155.77,88.7,45-7
703928.05,3558492.54,1154.84,88.9,45-7
703928.05,3558492.54,1153.91,89.0,45-7
703928.06,3558492.55,1152.98,89.2,45-7
703928.06,3558492.55,1152.05,89.4,45-7
703928.07,3558492.55,1151.12,89.5,45-7
703928.07,3558492.55,1150.19,89.7,45-7
703928.07,3558492.55,1149.26,89.9,45-7
703928.08,3558492.55,1148.33,90.0,45-7
703928.08,3558492.55,1147.4,90.2,45-7
703928.08,3558492.55,1146.47,90.4,45-7
703928.09,3558492.55,1145.54,90.6,45-7
703928.09,3558492.55,1144.62,90.7,45-7
703928.1,3558492.55,1143.69,90.9,45-7
703928.1,3558492.55,1142.76,91.1,45-7
703928.1,3558492.55,1141.83,91.3,45-7
703928.11,3558492.55,1140.9,91.5,45-7
703928.11,3558492.55,1139.97,91.6,45-7
703928.12,3558492.56,1139.04,91.8,45-7
703928.12,3558492.56,1138.11,92.0,45-7
703928.12,3558492.56,1137.18,92.2,45-7
703928.13,3558492.56,1136.25,92.4,45-7
703928.13,3558492.56,1135.32,92.6,45-7
703928.13,3558492.56,1134.39,92.8,45-7
703928.13,3558492.56,1133.46,93.0,45-7
703928.14,3558492.56,1132.53,93.2,45-7
703928.14,3558492.56,1131.6,93.4,45-7
703928.14,3558492.56,1130.67,93.6,45-7
703928.14,3558492.56,1129.74,93.8,45-7
703928.15,3558492.56,1128.81,94.0,45-7
703928.15,3558492.56,1127.88,94.2,45-7
703928.15,3558492.56,1126.95,94.4,45-7
703928.15,3558492.56,1126.02,94.7,45-7
703928.15,3558492.56,1125.09,94.9,45-7
703928.16,3558492.57,1124.16,95.1,45-7
703928.16,3558492.57,1123.23,95.3,45-7
703928.16,3558492.57,1122.3,95.6,45-7
703928.16,3558492.57,1121.37,95.8,45-7
703928.16,3558492.57,1120.44,96.0,45-7
703928.16,3558492.57,1119.51,96.3,45-7
703928.16,3558492.57,1118.58,96.5,45-7
703928.16,3558492.57,1117.65,96.7,45-7
703928.16,3558492.57,1116.72,97.0,45-7
703928.16,3558492.57,1115.79,97.2,45-7
703928.16,3558492.57,1114.86,97.5,45-7
703928.16,3558492.57,1113.93,97.7,45-7
703928.16,3558492.57,1113.0,98.0,45-7
703928.16,3558492.57,1112.07,98.2,45-7
703928.16,3558492.57,1111.14,98.5,45-7
703928.16,3558492.57,1110.21,98.8,45-7
703928.16,3558492.57,1109.28,99.0,45-7
703928.16,3558492.57,1108.35,99.3,45-7
703928.16,3558492.57,1107.42,99.6,45-7
703928.15,3558492.57,1106.49,99.9,45-7
703928.15,3558492.57,1105.56,100.2,45-7
703928.15,3558492.58,1104.63,100.4,45-7
703928.15,3558492.58,1103.7,100.7,45-7
703928.15,3558492.58,1102.77,101.0,45-7
703928.15,3558492.58,1101.84,101.3,45-7
703928.14,3558492.58,1100.91,101.6,45-7
703928.14,3558492.58,1099.98,101.9,45-7
703928.14,3558492.58,1099.05,102.3,45-7
703928.14,3558492.58,1098.12,102.6,45-7
703928.13,3558492.58,1097.19,102.9,45-7
703928.13,3558492.58,1096.26,103.2,45-7
703928.13,3558492.58,1095.33,103.5,45-7
703928.12,3558492.58,1094.4,103.8,45-7
703928.12,3558492.58,1093.47,104.1,45-7
703928.12,3558492.58,1092.54,104.4,45-7
703928.11,3558492.58,1091.61,104.7,45-7
703928.11,3558492.58,1090.68,105.0,45-7
703928.1,3558492.58,1089.75,105.3,45-7
703928.1,3558492.58,1088.82,105.6,45-7
703928.1,3558492.58,1087.89,105.9,45-7
703928.09,3558492.58,1086.96,106.2,45-7
703928.09,3558492.58,1086.03,106.5,45-7
703928.08,3558492.58,1085.1,106.8,45-7
703928.08,3558492.58,1084.17,107.1,45-7
703928.07,3558492.58,1083.24,107.4,45-7
703928.07,3558492.58,1082.31,107.7,45-7
703928.06,3558492.58,1081.38,108.0,45-7
703928.06,3558492.58,1080.45,108.3,45-7
703928.05,3558492.58,1079.52,108.6,45-7
703928.04,3558492.58,1078.59,109.0,45-7
703928.04,3558492.58,1077.66,109.3,45-7
703928.03,3558492.58,1076.73,109.6,45-7
703928.03,3558492.58,1075.8,109.9,45-7
703928.02,3558492.58,1074.87,110.2,45-7
703928.01,3558492.58,1073.94,110.6,45-7
703928.01,3558492.58,1073.01,110.9,45-7
703928.0,3558492.58,1072.08,111.2,45-7
703927.99,3558492.58,1071.15,111.5,45-7
703927.98,3558492.58,1070.22,111.8,45-7
703927.98,3558492.58,1069.29,112.1,45-7
703927.97,3558492.58,1068.36,112.4,45-7
703927.96,3558492.58,1067.43,112.7,45-7
703927.95,3558492.58,1066.5,113.0,45-7
703927.95,3558492.58,1065.57,113.4,45-7
703927.94,3558492.58,1064.64,113.7,45-7
703927.93,3558492.58,1063.71,114.0,45-7
703927.92,3558492.58,1062.78,114.2,45-7
703927.91,3558492.58,1061.85,114.5,45-7
703927.91,3558492.58,1060.92,114.8,45-7
703927.9,3558492.58,1059.99,115.1,45-7
703927.89,3558492.58,1059.06,115.4,45-7
703927.88,3558492.58,1058.13,115.7,45-7
703927.87,3558492.58,1057.2,116.0,45-7
703927.87,3558492.58,1056.27,116.3,45-7
703927.86,3558492.58,1055.34,116.6,45-7
703927.85,3558492.57,1054.41,116.9,45-7
703927.84,3558492.57,1053.48,117.2,45-7
703927.83,3558492.57,1052.56,117.5,45-7
703927.82,3558492.57,1051.63,117.8,45-7
703927.81,3558492.57,1050.7,118.1,45-7
703927.81,3558492.57,1049.77,118.3,45-7
703927.8,3558492.56,1048.84,118.6,45-7
703927.79,3558492.56,1047.91,118.9,45-7
703927.78,3558492.56,1046.98,119.2,45-7
703927.77,3558492.56,1046.05,119.5,45-7
703927.76,3558492.55,1045.12,119.8,45-7
703927.76,3558492.55,1044.19,120.1,45-7
703927.75,3558492.55,1043.26,120.4,45-7
703927.74,3558492.54,1042.33,120.7,45-7
703927.73,3558492.54,1041.4,121.0,45-7
703927.72,3558492.54,1040.47,121.3,45-7
703927.71,3558492.53,1039.54,121.5,45-7
703927.7,3558492.53,1038.61,121.8,45-7
703927.7,3558492.52,1037.68,122.1,45-7
703927.69,3558492.52,1036.75,122.4,45-7
703927.68,3558492.52,1035.82,122.7,45-7
703927.67,3558492.51,1034.89,122.9,45-7
703927.66,3558492.51,1033.96,123.2,45-7
703927.65,3558492.5,1033.03,123.5,45-7
703927.64,3558492.5,1032.1,123.8,45-7
703927.63,3558492.49,1031.17,124.1,45-7
703927.62,3558492.49,1030.24,124.3,45-7
703927.62,3558492.48,1029.31,124.6,45-7
703927.61,3558492.48,1028.38,124.9,45-7
703927.6,3558492.47,1027.45,125.2,45-7
703927.59,3558492.47,1026.52,125.4,45-7
703927.58,3558492.46,1025.59,125.7,45-7
703927.57,3558492.46,1024.66,126.0,45-7
703927.56,3558492.45,1023.73,126.2,45-7
703927.55,3558492.44,1022.8,126.5,45-7
703927.54,3558492.44,1021.87,126.8,45-7
703927.54,3558492.43,1020.94,127.1,45-7
703927.53,3558492.42,1020.01,127.3,45-7
703927.52,3558492.42,1019.08,127.6,45-7
703927.51,3558492.41,1018.15,127.9,45-7
703927.5,3558492.4,1017.22,128.2,45-7
703927.49,3558492.4,1016.29,128.5,45-7
703927.48,3558492.39,1015.36,128.8,45-7
703927.47,3558492.38,1014.43,129.0,45-7
703927.46,3558492.37,1013.5,129.3,45-7
703927.45,3558492.37,1012.57,129.6,45-7
703927.44,3558492.36,1011.64,129.9,45-7
703927.43,3558492.35,1010.71,130.2,45-7
703927.42,3558492.34,1009.78,130.5,45-7
703927.42,3558492.33,1008.85,130.7,45-7
703927.41,3558492.33,1007.92,131.0,45-7
703927.4,3558492.32,1006.99,131.3,45-7
703927.39,3558492.31,1006.06,131.5,45-7
703927.38,3558492.3,1005.13,131.8,45-7
703927.37,3558492.29,1004.2,132.1,45-7
703927.36,3558492.28,1003.27,132.3,45-7
703927.35,3558492.27,1002.35,132.6,45-7
703927.34,3558492.26,1001.42,132.9,45-7
703927.33,3558492.25,1000.49,133.2,45-7
703927.32,3558492.24,999.56,133.5,45-7
703927.31,3558492.23,998.63,133.7,45-7
703927.3,3558492.22,997.7,134.0,45-7
703927.29,3558492.21,996.77,134.3,45-7
703927.28,3558492.2,995.84,134.5,45-7
703927.27,3558492.19,994.91,134.8,45-7
703927.26,3558492.18,993.98,135.0,45-7
703927.25,3558492.17,993.05,135.2,45-7
703927.24,3558492.16,992.12,135.5,45-7
703927.23,3558492.15,991.19,135.7,45-7
703927.22,3558492.14,990.26,135.9,45-7
703927.21,3558492.13,989.33,136.2,45-7
703927.21,3558492.12,988.4,136.4,45-7
703927.2,3558492.11,987.47,136.6,45-7
703927.19,3558492.09,986.54,136.8,45-7
703927.18,3558492.08,985.61,137.1,45-7
703927.17,3558492.07,984.68,137.3,45-7
703927.16,3558492.06,983.75,137.5,45-7
703927.15,3558492.05,982.82,137.7,45-7
703927.14,3558492.03,981.89,137.9,45-7
703927.13,3558492.02,980.96,138.1,45-7
703927.12,3558492.01,980.03,138.3,45-7
703927.11,3558492.0,979.1,138.5,45-7
703927.1,3558491.98,978.17,138.7,45-7
703927.09,3558491.97,977.24,138.9,45-7
703927.08,3558491.96,976.31,139.1,45-7
703927.07,3558491.95,975.38,139.3,45-7
703927.06,3558491.93,974.45,139.5,45-7
703927.05,3558491.92,973.52,139.7,45-7
703927.04,3558491.91,972.59,139.8,45-7
703927.03,3558491.89,971.66,140.0,45-7
703927.02,3558491.88,970.73,140.2,45-7
703927.01,3558491.86,969.8,140.4,45-7
703926.99,3558491.85,968.87,140.6,45-7
703926.98,3558491.84,967.94,140.7,45-7
703926.97,3558491.82,967.01,140.9,45-7
703926.96,3558491.81,966.08,141.1,45-7
703926.95,3558491.79,965.15,141.2,45-7
703926.94,3558491.78,964.22,141.4,45-7
703926.93,3558491.76,963.29,141.6,45-7
703926.92,3558491.75,962.36,141.7,45-7
703926.91,3558491.73,961.43,141.9,45-7
703926.9,3558491.72,960.51,142.0,45-7
703926.89,3558491.7,959.58,142.2,45-7
703926.88,3558491.69,958.65,142.4,45-7
703926.87,3558491.67,957.72,142.5,45-7
703926.86,3558491.66,956.79,142.7,45-7
703926.85,3558491.64,955.86,142.8,45-7
703926.84,3558491.63,954.93,143.0,45-7
703926.83,3558491.61,954.0,143.1,45-7
703926.82,3558491.6,953.07,143.3,45-7
703926.81,3558491.58,952.14,143.5,45-7
703926.8,3558491.56,951.21,143.6,45-7
